patient_number,location_number,frame_number,SSIM,L1,L2
0,2,4,0.918707549571991,0.01545581966638565,0.0010280797723680735,
0,2,5,0.9303750395774841,0.014613375067710876,0.0008243733900599182,
0,2,6,0.9378761053085327,0.013834472745656967,0.0006998241879045963,
0,2,7,0.9326797723770142,0.014441315084695816,0.000770328682847321,
0,2,8,0.9221354126930237,0.015350856818258762,0.0010735159739851952,
0,2,9,0.9096444249153137,0.01612457074224949,0.0013465126976370811,
0,2,10,0.904367983341217,0.016797862946987152,0.0014881357783451676,
0,2,11,0.902714192867279,0.017034461721777916,0.0016149083385244012,
0,2,12,0.911245584487915,0.016302969306707382,0.0013942534569650888,
0,2,13,0.9219115972518921,0.014890055172145367,0.0010353252291679382,
0,2,14,0.9353187680244446,0.013255901634693146,0.0006695091724395752,
0,2,15,0.9412919282913208,0.012452430091798306,0.0005237361183390021,
0,2,16,0.9444466829299927,0.012143716216087341,0.0004524271935224533,
0,2,17,0.9475396871566772,0.011682815849781036,0.000388945743907243,
0,2,18,0.9488403797149658,0.01172039657831192,0.00037440742016769946,
0,2,19,0.9494457840919495,0.011582368984818459,0.00037607381818816066,
0,2,20,0.9459196925163269,0.012318042106926441,0.00046596722677350044,
0,2,21,0.9393603801727295,0.013119145296514034,0.000633482588455081,
0,2,22,0.9346240758895874,0.013682683929800987,0.0007410136167891324,
0,2,23,0.9352167248725891,0.01350313425064087,0.0007401484181173146,
0,3,0,0.9139293432235718,0.015900831669569016,0.0013031125999987125,
0,3,1,0.9094270467758179,0.016398880630731583,0.0014129946939647198,
0,3,2,0.911864161491394,0.01634928211569786,0.0011940576368942857,
0,3,3,0.9206027388572693,0.014628957025706768,0.0008758663898333907,
0,3,4,0.928611159324646,0.01377171277999878,0.00073023367440328,
0,3,5,0.9316875338554382,0.013397335074841976,0.0007039240445010364,
0,3,6,0.9337073564529419,0.013494826853275299,0.0007039799820631742,
0,3,7,0.9294360876083374,0.014382200315594673,0.0008634626865386963,
0,3,8,0.9231537580490112,0.015284578315913677,0.0010584027040749788,
0,3,9,0.9171103239059448,0.015511034056544304,0.0011888355948030949,
0,3,10,0.9132406115531921,0.015252320095896721,0.0011452923063188791,
0,3,11,0.9155822992324829,0.015103387646377087,0.0011333421571180224,
0,3,12,0.9229815006256104,0.014484578743577003,0.0009096750291064382,
0,3,13,0.9320601224899292,0.014296583831310272,0.0008351504802703857,
0,3,14,0.9324392080307007,0.013147519901394844,0.0006591007695533335,
0,3,15,0.9408477544784546,0.012038802728056908,0.0004895198508165777,
0,3,16,0.9411238431930542,0.01200174167752266,0.0004320081206969917,
0,3,17,0.9459362030029297,0.011354301124811172,0.0003524271014612168,
0,3,18,0.9444087743759155,0.011569534428417683,0.0003592595749069005,
0,3,19,0.9484120011329651,0.011648144572973251,0.00035437935730442405,
0,3,20,0.9463082551956177,0.0117584727704525,0.00038026756374165416,
0,3,21,0.9388363361358643,0.01242310181260109,0.0004937921767123044,
0,3,22,0.9353976249694824,0.01325933076441288,0.0006647828267887235,
0,3,23,0.9352917671203613,0.013241245411336422,0.0006867143092676997,
0,4,0,0.9275879859924316,0.014789261855185032,0.0010049061384052038,
0,4,1,0.9240424036979675,0.015334566123783588,0.0010266697499901056,
0,4,2,0.9288337230682373,0.014939423650503159,0.0008721590857021511,
0,4,3,0.9320514798164368,0.014033431187272072,0.0007494670571759343,
0,4,4,0.9388895630836487,0.013307956978678703,0.0006301179528236389,
0,4,5,0.9415746927261353,0.013004894368350506,0.0005749260308220983,
0,4,6,0.9425063133239746,0.013572650030255318,0.0006733660120517015,
0,4,7,0.941164493560791,0.013598098419606686,0.0007073027081787586,
0,4,8,0.9346532821655273,0.013456573709845543,0.0007069318671710789,
0,4,9,0.9306689500808716,0.014125002548098564,0.0008638771250844002,
0,4,10,0.9325144290924072,0.014179887250065804,0.00086846889462322,
0,4,11,0.9369755983352661,0.013778259977698326,0.0007734972750768065,
0,4,12,0.9415973424911499,0.013044984079897404,0.0006403272273018956,
0,4,13,0.9478762149810791,0.012181962840259075,0.0004843371280003339,
0,4,14,0.948744535446167,0.011689902283251286,0.0004124842816963792,
0,4,15,0.9525981545448303,0.011692249216139317,0.0003885760670527816,
0,4,16,0.9531009793281555,0.01136607676744461,0.00035614546504803,
0,4,17,0.9536225199699402,0.011054184287786484,0.0003310012980364263,
0,4,18,0.9538549184799194,0.01094280555844307,0.00031732526258565485,
0,4,19,0.9536626935005188,0.01065842155367136,0.0002910168841481209,
0,4,20,0.9524416923522949,0.0112202363088727,0.00035607596510089934,
0,4,21,0.9470840692520142,0.012313710525631905,0.0005628272192552686,
0,4,22,0.942423403263092,0.012998837977647781,0.0007003811770118773,
0,4,23,0.9428035020828247,0.012794585898518562,0.0006720150704495609,
0,5,0,0.9275978207588196,0.014799017459154129,0.0010292306542396545,
0,5,1,0.9254792332649231,0.01495181955397129,0.00105348601937294,
0,5,2,0.925569474697113,0.01484406553208828,0.00100353651214391,
0,5,3,0.9321837425231934,0.01444198191165924,0.000895043252967298,
0,5,4,0.9351130723953247,0.013811123557388783,0.000724303419701755,
0,5,5,0.9409376382827759,0.012906350195407867,0.0005942166317254305,
0,5,6,0.9378809928894043,0.013887429609894753,0.0007188395829871297,
0,5,7,0.9386999607086182,0.013953931629657745,0.0007655649678781629,
0,5,8,0.9321852922439575,0.014191778376698494,0.0008303995709866285,
0,5,9,0.9277923107147217,0.01476622186601162,0.0009410101920366287,
0,5,10,0.9209228157997131,0.014780281111598015,0.0010652251075953245,
0,5,11,0.924500584602356,0.014389034360647202,0.0010329184588044882,
0,5,12,0.9330881237983704,0.013503852300345898,0.0008051368058659136,
0,5,13,0.9423686265945435,0.012426741421222687,0.0005464103305712342,
0,5,14,0.9472663402557373,0.012346643954515457,0.0005204149056226015,
0,5,15,0.947117805480957,0.012152917683124542,0.0004498697817325592,
0,5,16,0.9508661031723022,0.01162638608366251,0.00039155385456979275,
0,5,17,0.9509396553039551,0.011557524092495441,0.0003838952980004251,
0,5,18,0.9520002603530884,0.011500561609864235,0.00036509381607174873,
0,5,19,0.9507434368133545,0.011472432874143124,0.00036181489122100174,
0,5,20,0.9524573683738708,0.011856455355882645,0.00042084939195774496,
0,5,21,0.9440413117408752,0.0127155352383852,0.0006323793204501271,
0,5,22,0.93802809715271,0.013226618058979511,0.0007769791991449893,
0,5,23,0.9395695924758911,0.013240555301308632,0.0007354305707849562,
0,6,0,0.9339100122451782,0.013614430092275143,0.0007440035697072744,
0,6,1,0.9319828152656555,0.013844165951013565,0.0007831761613488197,
0,6,2,0.9331112504005432,0.013771988451480865,0.0007922699442133307,
0,6,3,0.9359856247901917,0.012984374538064003,0.0006674674805253744,
0,6,4,0.9382913708686829,0.012646692804992199,0.0005509814945980906,
0,6,5,0.9434367418289185,0.012067664414644241,0.0004965891712345183,
0,6,6,0.9418869018554688,0.012261203490197659,0.0005178184946998954,
0,6,7,0.9413838982582092,0.012439539656043053,0.000541954766958952,
0,6,8,0.9393571019172668,0.012703953310847282,0.0006460231961682439,
0,6,9,0.9351223707199097,0.01317703165113926,0.0007676020031794906,
0,6,10,0.9336827993392944,0.013078151270747185,0.0008014260092750192,
0,6,11,0.9384133815765381,0.012700346298515797,0.0006901159649714828,
0,6,12,0.9439632892608643,0.012081743218004704,0.0005054128123447299,
0,6,13,0.9440652132034302,0.011891903355717659,0.00046967537491582334,
0,6,14,0.9455349445343018,0.011637669056653976,0.00043306979932822287,
0,6,15,0.9465171098709106,0.01131100207567215,0.0003624224045779556,
0,6,16,0.9502354860305786,0.010910854674875736,0.00032394591835327446,
0,6,17,0.9516913294792175,0.010909128934144974,0.0003208036068826914,
0,6,18,0.9524036645889282,0.01090432982891798,0.00030844222055748105,
0,6,19,0.9507893323898315,0.011042192578315735,0.00032193638617172837,
0,6,20,0.9492716193199158,0.011211453005671501,0.0003339613031130284,
0,6,21,0.9492186307907104,0.011092535220086575,0.00038028365815989673,
0,6,22,0.9407480955123901,0.012270123697817326,0.0006175333983264863,
0,6,23,0.9371047616004944,0.012810073792934418,0.0007141490932554007,
0,7,0,0.9494549036026001,0.011902358382940292,0.00048554467502981424,
0,7,1,0.9473170638084412,0.01160736009478569,0.0005250026006251574,
0,7,2,0.944703996181488,0.012407055124640465,0.0006060581654310226,
0,7,3,0.9451524019241333,0.012089679017663002,0.0005403772229328752,
